0,1,2,3
NIC Ice Creams,Chocochips Ice Cream 500ml,₹245.76,"Melt in mouth chocolate chips in every spoon. Truly, a decadent ice cream ... read more"
NIC Ice Creams,Alphonso Mango Ice Cream 500ml,₹245.76,The king of fruits adds a delightful flavour to your scoop. The perfect ... read more
NIC Ice Creams,Tender Coconut Ice Cream 100ml,₹63.56,"Relish the refreshing and fresh bites of Tender Coconut, only in NIC's Tender ... read more"
NIC Ice Creams,Alphonso Mango Ice Cream 100ml,₹63.56,The king of fruits adds a delightful flavour to your scoop. The perfect ... read more
NIC Ice Creams,Stick Malai Kulfi,₹50.85,"The all-time favorite Desi Ice Cream - Malai Stick Kulfi, is here to ... read more"
NIC Ice Creams,Dryfruit Overload Ice Cream 500ml,₹296.61,"A scoop of Ice Cream Loaded with Cashews, Almonds, Pistas and Kishmishs. Needs ... read more"
NIC Ice Creams,Roasted Almond Ice Cream 500ml,₹245.76,Roasted almonds is a must-have. Its crunchy texture with its singular flavour is ... read more
NIC Ice Creams,Madagascar Chocolate Ice Cream 750ml,₹423.73,"Extra rich & smooth Madagascar Ice Cream, takes chocolate indulgence to a level ... read more"
NIC Ice Creams,Tender Coconut Ice Cream 500ml,₹245.76,"Relish the refreshing and fresh bites of  Tender Coconut, only in NIC's ... read more"
NIC Ice Creams,Gulab Jamun Ice Cream 500ml,₹271.19,Now India's favourite Gulab Jamun in ice cream. Lose yourself in its rich ... read more
NIC Ice Creams,Dryfruit Overload Ice Cream 100ml,₹76.27,"A scoop of Ice Cream Loaded with Cashews, Almonds, Pistas and Kishmishs. Needs ... read more"
NIC Ice Creams,Kesar Pista Ice Cream 500ml,₹245.76,A perfect combination of divine richness. Relish the royal treat of Kesar and ... read more
NIC Ice Creams,French Vanilla Ice Cream 500ml,₹296.61,"The world's favourite ice cream taste, it's plain but delicious"
NIC Ice Creams,Mixed Berries Ice Cream 500ml,₹296.61,"Crafted with imported Californian Cranberries, Blueberries and Strawberries. This ice cream is perfect ... read more"
NIC Ice Creams,Chocochips Ice Cream 750ml,₹313.56,"Melt in mouth chocolate chips in every spoon. Truly, a decadent ice cream ... read more"
NIC Ice Creams,Chocochips Ice Cream 100ml,₹63.56,"Melt in mouth chocolate chips in every spoon. Truly, a decadent ice cream ... read more"
NIC Ice Creams,Madagascar Chocolate Ice Cream 100ml,₹84.75,"Extra rich & smooth Madagascar Ice Cream, takes chocolate indulgence to a level ... read more"
NIC Ice Creams,Tender Coconut Ice Cream 750ml,₹313.56,"Relish the refreshing and fresh bites of  Tender Coconut, only in NIC's ... read more"
NIC Ice Creams,Cookies N Cream Ice Cream 500ml,₹245.76,Dedicated to lovers of cookies. A fun scoop of Oreo cookies in your ... read more
NIC Ice Creams,Roasted Almond Ice Cream 100ml,₹63.56,Roasted almonds is a must-have. Its crunchy texture with its singular flavour is ... read more
NIC Ice Creams,Paan Ice Cream 500ml,₹271.19,The tantalizing taste of paan meets the creamy goodness of our pure milk ... read more
NIC Ice Creams,Jaggery Almond Ice Cream 500ml,₹271.19,Pure Jaggery and Crunchy Almond come together in this playful ice cream delight!
NIC Ice Creams,Sea Salt Caramel Ice Cream 500ml,₹338.98,A decadent swirl of Mediterranean sea salt & crunch of crispy pearls ice ... read more
NIC Ice Creams,Gajar Halwa Ice Cream 500 ml,₹271.19,"Favourite traditional dessert, now in every bite if your scoop"
NIC Ice Creams,Strawberry Ice Cream 500ml,₹245.76,"Creamy Milk Ice cream, infused with the freshness of hand picked strawberries."
NIC Ice Creams,Coffee Walnut Ice Cream 500ml,₹245.76,The distinctively bittersweet headiness of coffee crafted with nuttiness of walnut
NIC Ice Creams,Mixed Berries Ice Cream 100ml,₹76.27,"Crafted with imported Californian Cranberries, Blueberries and Strawberries. This ice cream is perfect ... read more"
NIC Ice Creams,Gulab Jamun Ice Cream 100ml,₹67.80,Now India's favourite Gulab Jamun in ice cream. Lose yourself in its rich ... read more
NIC Ice Creams,Stick Kesar Pista Kulfi,₹50.85,"With the crunch of pistas & rich, the rich aroma of saffron this ... read more"
NIC Ice Creams,Coffee Walnut Ice Cream 100ml,₹63.56,The distinctively bittersweet headiness of coffee crafted with nuttiness of walnut
NIC Ice Creams,Stick Paan Kulfi,₹50.85,Tradition meets innovation. This combination made for Indian hearts and palates.
NIC Ice Creams,Sea Salt Caramel Ice Cream 100ml,₹84.75,A decadent swirl of Mediterranean sea salt & crunch of crispy pearls ice ... read more
NIC Ice Creams,Desi Love Combo,₹415.25,Express love the desi way with a combo that’s got traditional desi flavours. ... read more
